Total: 865 schools missing logo files
Out of 831 unique schools
Academy of Art|Academy_of_Art.svg
St. Joseph (VT)|St_Joseph_VT.svg
St. Joseph's (NY)|St_Josephs_NY.svg
St. Josephs (IND)|St_Josephs_IND.svg
St. Josephs (ME)|St_Josephs_ME.svg
St. Mary's (MD)|St_Marys_MD.svg
St. Mary's (TX)|St_Marys_TX.svg
St. Pauls College|St_Pauls_College.svg
St. Thomas (FL)|St_Thomas_FL.svg
St. Thomas (TX)|St_Thomas_TX.svg
St. Thomas (TX)|St_Thomas_TX.svg
St. Thomas Aquinas|St_Thomas_Aquinas.svg
St. Xavier  (IL)|St_Xavier_IL.svg
Stanislaus State|Stanislaus_State.svg
Stanton|Stanton.svg
Staten Island|Staten_Island.svg
Sterling College (KS)|Sterling_College_KS.svg
Stevens Institute|Stevens_Institute.svg
Stillman|Stillman.svg
Stockton|Stockton.svg
Suffolk|Suffolk.svg
Swarthmore|Swarthmore.svg
Swarthmore|Swarthmore.svg
TBD|TBD.svg
Tabor|Tabor.svg
Talladega|Talladega.svg
Tampa|Tampa.svg
Taylor|Taylor.svg
Tennessee State|Tennessee_State.svg
Tennessee Tech|Tennessee_Tech.svg
Tennessee Wesleyan|Tennessee_Wesleyan.svg
Texas A&M-Corpus Christi|Texas_A_M_Corpus_Christi.svg
Texas A&M-International|Texas_A_M_International.svg
Texas A&M-Kingsville|Texas_A_M_Kingsville.svg
Texas A&M-San Antonio|Texas_A_M_San_Antonio.svg
Texas A&M-Texarkana|Texas_A_M_Texarkana.svg
Texas College|Texas_College.svg
Texas Pan American|Texas_Pan_American.svg
Texas Permian Basin|Texas_Permian_Basin.svg
Texas Wesleyan|Texas_Wesleyan.svg
Texas Wesleyan|Texas_Wesleyan.svg
The Open Bible|The_Open_Bible.svg
Thomas (GA)|Thomas_GA.svg
Thomas (ME)|Thomas_ME.svg
Thomas More|Thomas_More.svg
Toccoa Falls|Toccoa_Falls.svg
Tougaloo|Tougaloo.svg
Transylvania|Transylvania.svg
Trevecca Nazarene|Trevecca_Nazarene.svg
Trine University|Trine_University.svg
Trinity (CT)|Trinity_CT.svg
Trinity (FL)|Trinity_FL.svg
Trinity (TX)|Trinity_TX.svg
Trinity Baptist|Trinity_Baptist.svg
Trinity Christian (IL)|Trinity_Christian_IL.svg
Trinity International|Trinity_International.svg
Truett-McConnell|Truett_McConnell.svg
Truman State|Truman_State.svg
U.S. International|US_International.svg
UAlbany|UAlbany.svg
UC Merced|UC_Merced.svg
UC Santa Cruz|UC_Santa_Cruz.svg
UNT Dallas|UNT_Dallas.svg
UT Dallas|UT_Dallas.svg
UT Permian Basin|UT_Permian_Basin.svg
UT Tyler|UT_Tyler.svg
UVA Wise|UVA_Wise.svg
UW-Parkside|UW_Parkside.svg
Union (KY)|Union_KY.svg
Union (NY)|Union_NY.svg
Union (NY)|Union_NY.svg
Union (TN)|Union_TN.svg
University Of The Virgin Islands|University_Of_The_Virgin_Islands.svg
University Park|University_Park.svg
University of Health Sciences & Pharmacy|University_of_Health_Sciences_Pharmacy.svg
University of Mary|University_of_Mary.svg
University of Rochester (NY)|University_of_Rochester_NY.svg
University of Saint Katherine|University_of_Saint_Katherine.svg
University of The Ozarks|University_of_The_Ozarks.svg
University of The Sciences|University_of_The_Sciences.svg
University of The Southwest|University_of_The_Southwest.svg
University of Wisconsin River Falls|University_of_Wisconsin_River_Falls.svg
Urbana|Urbana.svg
Utah Tech|Utah_Tech.svg
Valley City|Valley_City.svg
Valley Forge|Valley_Forge.svg
Vanguard|Vanguard.svg
Vassar|Vassar.svg
Vermont State - Johnson|Vermont_State_Johnson.svg
Vermont State - Lyndon|Vermont_State_Lyndon.svg
Vermont State - Randolph|Vermont_State_Randolph.svg
Victory University|Victory_University.svg
Virginia Intermont|Virginia_Intermont.svg
Virginia Wesleyan|Virginia_Wesleyan.svg
Virginia-Lynchburg|Virginia_Lynchburg.svg
Viterbo|Viterbo.svg
Voorhees|Voorhees.svg
WVU Tech|WVU_Tech.svg
Wabash College|Wabash_College.svg
Waldorf College|Waldorf_College.svg
Walla Walla|Walla_Walla.svg
Warner Pacific|Warner_Pacific.svg
Warner University|Warner_University.svg
Warner University|Warner_University.svg
Warren Wilson|Warren_Wilson.svg
Washington & Jefferson|Washington_Jefferson.svg
Washington & Jefferson|Washington_Jefferson.svg
Washington & Lee|Washington_Lee.svg
Washington College|Washington_College.svg
Washington College (MD)|Washington_College_MD.svg
Washington University (St. Louis)|Washington_University_St_Louis.svg
Wayland Baptist|Wayland_Baptist.svg
Wayne State (MI)|Wayne_State_MI.svg
Wayne State (NE)|Wayne_State_NE.svg
Webber International|Webber_International.svg
Webster|Webster.svg
Welch|Welch.svg
Wells College|Wells_College.svg
Wentworth Institute Of Technology|Wentworth_Institute_Of_Technology.svg
Wesleyan (CT)|Wesleyan_CT.svg
West Coast Baptist|West_Coast_Baptist.svg
West Georgia|West_Georgia.svg
West Virginia Tech|West_Virginia_Tech.svg
Westcliff|Westcliff.svg
Western New England|Western_New_England.svg
Western State Colorado University|Western_State_Colorado_University.svg
Westminster (PA)|Westminster_PA.svg
Westminster (PA)|Westminster_PA.svg
Westminster (UT)|Westminster_UT.svg
Westmont|Westmont.svg
Wheaton|Wheaton.svg
Wheaton (IL)|Wheaton_IL.svg
Wheaton (MA)|Wheaton_MA.svg
Wheelock College|Wheelock_College.svg
Whitman|Whitman.svg
Wilberforce|Wilberforce.svg
Wiley|Wiley.svg
Wilkes University|Wilkes_University.svg
William Carey|William_Carey.svg
William Peace|William_Peace.svg
William Penn|William_Penn.svg
William Woods|William_Woods.svg
Williams Baptist|Williams_Baptist.svg
Wilmington (OH)|Wilmington_OH.svg
Wilmington University|Wilmington_University.svg
Wilson College|Wilson_College.svg
Winston-Salem|Winston_Salem.svg
Wisconsin-Lutheran|Wisconsin_Lutheran.svg
Wisconsin-Stevens Point|Wisconsin_Stevens_Point.svg
Wisconsin-Stout|Wisconsin_Stout.svg
Wisconsin-Superior|Wisconsin_Superior.svg
Wisconsin-Superior|Wisconsin_Superior.svg
Xavier (LA)|Xavier_LA.svg
Yellowstone Christian College|Yellowstone_Christian_College.svg
York (NY)|York_NY.svg
York College Nebraska|York_College_Nebraska.svg
York College Pa|York_College_Pa.svg
Young Harris College|Young_Harris_College.svg
